"practice_pac_id","practice_type","practice_group_name","practice_awv_count","npi","last_name","first_name","credential","primary_specialty","total_awv","total_unique_benes","total_medicare_allowed_amt","avg_cost_per_bene","beneficiary_average_risk_score","pct_awv","avg_average_medicare_payment_amt"
"5294981163","Group Practice","MEDEXPRESS INC-DELAWARE","172","1518954478","GRANT","LORI","NP","NURSE PRACTITIONER",NULL,"38","$9,363.12","$246.40","9.7469","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1356728232","FISHER","ADETOKUNBO",NULL,"NURSE PRACTITIONER",NULL,"99","$25,140.06","$253.94","6.9818","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1528461845","WILLIAMS","TERINA",NULL,"NURSE PRACTITIONER",NULL,"94","$6,816.16","$72.51","3.4024","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1518096221","SEGAL","ALISON",NULL,"PHYSICIAN ASSISTANT",NULL,"37","$2,479.04","$67.00","3.3445","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1396828570","LAMOUREUX","DEBRA","NP","NURSE PRACTITIONER",NULL,"27","$4,968.89","$184.03","3.2619","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1033240577","MORELLI","PAULETTE","NP","NURSE PRACTITIONER",NULL,"151","$17,201.08","$113.91","3.2616","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1659744845","HINKLE","SARAH",NULL,"NURSE PRACTITIONER",NULL,"88","$7,984.02","$90.73","3.2413","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1013978535","BLAKE","AMY",NULL,"NURSE PRACTITIONER",NULL,"529","$215,835.48","$408.01","3.1911","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1326292491","MUTH","ELIZABETH",NULL,"INTERNAL MEDICINE",NULL,"175","$33,094.27","$189.11","3.1599","0.00000000000000000000",NULL
"1850472390","Group Practice","INPATIENT CONSULTANTS OF DELAWARE, INC","170","1851362909","KHAN","AZHAR","MD","INTERNAL MEDICINE",NULL,"612","$336,600.14","$550.00","3.1532","0.00000000000000000000",NULL
"9234156985","Group Practice","HOSPITAL MEDICINE ASSOCIATES LLC","55","1851362909","KHAN","AZHAR","MD","INTERNAL MEDICINE",NULL,"612","$336,600.14","$550.00","3.1532","0.00000000000000000000",NULL
"7911809173","Group Practice","ATLANTIC ADULT AND PEDIATRIC MEDICINE PA","829","1518185008","GROVE","CARA",NULL,"NURSE PRACTITIONER",NULL,"311","$60,858.85","$195.69","3.1471","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1831464130","HANSON","SHAUN",NULL,"INTERNAL MEDICINE",NULL,"59","$8,435.90","$142.98","3.1312","0.00000000000000000000",NULL
"4082681218","Group Practice","MB MEDICAL SERVICES LLC","105","1972053619","CHAMBERS","BONNIE",NULL,"NURSE PRACTITIONER",NULL,"83","$13,289.23","$160.11","3.1251","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1831397900","BROGLEY","SHIRLEY",NULL,"NURSE PRACTITIONER",NULL,"164","$32,855.64","$200.34","3.116","0.00000000000000000000",NULL
"1850472390","Group Practice","INPATIENT CONSULTANTS OF DELAWARE, INC","170","1952406530","MATHEW","THOMAS","MD","INTERNAL MEDICINE",NULL,"302","$49,958.81","$165.43","3.0935","0.00000000000000000000",NULL
"9234156985","Group Practice","HOSPITAL MEDICINE ASSOCIATES LLC","55","1952406530","MATHEW","THOMAS","MD","INTERNAL MEDICINE",NULL,"302","$49,958.81","$165.43","3.0935","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1952406530","MATHEW","THOMAS","MD","INTERNAL MEDICINE",NULL,"302","$49,958.81","$165.43","3.0935","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1114089158","HUTCHINSON","SUSAN",NULL,"NURSE PRACTITIONER",NULL,"266","$21,794.79","$81.94","3.0927","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1700985769","LATTA","MARC",NULL,"PHYSICIAN ASSISTANT",NULL,"20","$2,923.17","$146.16","3.0884","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1194083238","KITTS","CHERYL LYNNE",NULL,"NURSE PRACTITIONER",NULL,"187","$12,236.33","$65.43","3.0729","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1689834137","GOLDSTEIN","JENNIFER",NULL,"INTERNAL MEDICINE",NULL,"202","$41,681.97","$206.35","3.0616","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1053371120","WILSON","BARBARA","NP","NURSE PRACTITIONER",NULL,"176","$15,281.87","$86.83","3.0413","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1477949378","ZETTLE","AMANDA",NULL,"NURSE PRACTITIONER",NULL,"227","$49,609.35","$218.54","3.0406","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1932322054","ROBINSON","EDMONDO",NULL,"INTERNAL MEDICINE",NULL,"63","$14,711.58","$233.52","3.0357","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1730463902","SAGE","AMY",NULL,"PHYSICIAN ASSISTANT",NULL,"56","$4,259.61","$76.06","3.0277","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1952757874","TUROCHY","ELAINE",NULL,"NURSE PRACTITIONER",NULL,"39","$2,916.78","$74.79","3.0187","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1154391928","RUETHER","JAMES",NULL,"INTERNAL MEDICINE",NULL,"211","$47,568.21","$225.44","3.0112","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1861781106","SANTINELLI","MEREDITH",NULL,"NURSE PRACTITIONER",NULL,"74","$6,187.98","$83.62","3.001","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1528163649","DAS","NEALANJON",NULL,"INTERNAL MEDICINE",NULL,"168","$37,701.76","$224.42","2.9845","0.00000000000000000000",NULL
"9234156985","Group Practice","HOSPITAL MEDICINE ASSOCIATES LLC","55","1053448431","REDDY","VIVEK",NULL,"INTERNAL MEDICINE",NULL,"585","$115,473.73","$197.39","2.9757","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1356571236","SANCHEZ VALDIVIESO","BERTHA",NULL,"INTERNAL MEDICINE",NULL,"379","$87,877.76","$231.87","2.9752","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1417979220","PRESTON","LEIGH","PA","PHYSICIAN ASSISTANT",NULL,"299","$44,539.18","$148.96","2.948","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1316113632","NOOR","SAJID",NULL,"INTERNAL MEDICINE",NULL,"673","$207,125.41","$307.76","2.94","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1023080520","BHAGAT","KUNAL",NULL,"INTERNAL MEDICINE",NULL,"688","$208,712.66","$303.36","2.9311","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1124290937","CHERRY","JACLYN",NULL,"NURSE PRACTITIONER",NULL,"310","$41,928.34","$135.25","2.9296","0.00000000000000000000",NULL
"1850472390","Group Practice","INPATIENT CONSULTANTS OF DELAWARE, INC","170","1689849697","ARKHURST","KOJO",NULL,"FAMILY PRACTICE",NULL,"733","$396,893.22","$541.46","2.9047","0.00000000000000000000",NULL
"9234156985","Group Practice","HOSPITAL MEDICINE ASSOCIATES LLC","55","1689849697","ARKHURST","KOJO",NULL,"FAMILY PRACTICE",NULL,"733","$396,893.22","$541.46","2.9047","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1316239551","CHEN","DAVID",NULL,"INTERNAL MEDICINE",NULL,"260","$55,560.09","$213.69","2.8984","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1346622487","BROWN","JAMIE",NULL,"NURSE PRACTITIONER",NULL,"94","$6,009.67","$63.93","2.8968","0.00000000000000000000",NULL
"9739097569","Group Practice","CHRISTIANA CARE HEALTH SERVICES INC","1942","1043531403","TAL","YOAV",NULL,"INTERNAL MEDICINE",NULL,"814","$254,553.56","$312.72","2.8716","0.00000000000000000000",NULL
"6709178510","Group Practice","EAST COAST OBSERVATION PHYSICIANS LLP","309","1104953843","KAUFMANN","JONATHAN",NULL,"INTERNAL MEDICINE",NULL,"45","$9,213.59","$204.75","2.846","0.00000000000000000000",NULL
